#Archive/File	Name	Time	Size	Type
Archive	GSE196235_RAW.tar	03/10/2022 18:02:21	10720030720	TAR
File	GSM5866071_LGS1_allValidPairs.hic	02/05/2022 14:11:33	1105172672	HIC
File	GSM5866071_LGS1_loops.bedpe.gz	02/07/2022 07:37:13	429865	BEDPE
File	GSM5866072_LVG1_allValidPairs.hic	02/05/2022 14:10:44	1120754796	HIC
File	GSM5866072_LVG1_loops.bedpe.gz	02/07/2022 07:37:13	178092	BEDPE
File	GSM5866073_AIIamacrine_frags.tsv.gz	02/07/2022 07:37:41	104696518	TSV
File	GSM5866073_Astrocyte_frags.tsv.gz	02/07/2022 07:37:58	64680865	TSV
File	GSM5866073_Cone_frags.tsv.gz	02/07/2022 07:40:19	439756365	TSV
File	GSM5866073_GABAamacrine_frags.tsv.gz	02/07/2022 07:42:04	341745234	TSV
File	GSM5866073_Glyamacrine_frags.tsv.gz	02/07/2022 07:42:31	97648166	TSV
File	GSM5866073_Horizontal_frags.tsv.gz	02/07/2022 07:43:54	284490076	TSV
File	GSM5866073_Microglia_frags.tsv.gz	02/07/2022 07:44:13	70232441	TSV
File	GSM5866073_Mullerglia_frags.tsv.gz	02/07/2022 07:49:25	865987028	TSV
File	GSM5866073_OFFconebipolar_frags.tsv.gz	02/07/2022 07:53:16	651623368	TSV
File	GSM5866073_ONconebipolar_frags.tsv.gz	02/07/2022 07:55:39	427429674	TSV
File	GSM5866073_Retinalganglioncell_frags.tsv.gz	02/07/2022 07:56:30	186787677	TSV
File	GSM5866073_Rod_frags.tsv.gz	02/07/2022 08:27:49	4200025905	TSV
File	GSM5866073_Rodbipolar_frags.tsv.gz	02/07/2022 08:30:21	477552854	TSV
File	GSM5866081_barcodes.tsv.gz	02/05/2022 14:35:17	283547	TSV
File	GSM5866081_features.tsv.gz	02/05/2022 14:35:04	252981	TSV
File	GSM5866081_matrix.mtx.gz	02/05/2022 14:35:16	280281941	MTX
