#Archive/File	Name	Time	Size	Type
File	GSM8228875_Chen_a_lobe_10x3_Lobe_19_D008_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:48	157236923	H5
File	GSM8228876_Chen_a_lobe_10x3_Lobe_D013_13_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:24	54971881	H5
File	GSM8228877_Chen_a_lobe_10x_Lobe_D28_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:52	108446977	H5
File	GSM8228878_Chen_rgc_mac_NeuN_10x3v31_19_D009_Mac_NeuN_T-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:44:52	104011789	H5
File	GSM8228879_Chen_a_lobe_10x3_Lobe_19_D003_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:26	41520093	H5
File	GSM8228880_Chen_a_lobe_10x3_Lobe_19_D010_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:57	121125616	H5
File	GSM8228881_Chen_rgc_mac_NeuN_10x3V31_19_D017_Macular_NeuN_T-v7_filtered_feature_bc_matrix.h5	04/23/2024 17:40:10	50814221	H5
File	GSM8228882_Chen_rgc_mac_NeuN_10x3v31_19_D011_Macular_NeuN_T-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:44:55	168353036	H5
File	GSM8228883_Chen_a_lobe_10x3_Lobe_19_D009_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:52	125101958	H5
File	GSM8228884_Chen_a_lobe_10x_Lobe_D21_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:43	110604219	H5
File	GSM8228885_Chen_a_lobe_10x_Lobe_D026_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:34	43715983	H5
File	GSM8228886_cellranger_v2.1_atac_19_D003_macular_NeuN_1_filtered_peak_bc_matrix.h5	03/13/2024 19:00:22	37856294	H5
File	GSM8228887_Chen_a_lobe_10x3_Lobe_19_D005_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:39	54097415	H5
File	GSM8228888_Chen_a_lobe_10x3_Lobe_19_D006_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:32	49671364	H5
File	GSM8228889_cellranger_v2.1_atac_19_D006_macular_NeuN_2_filtered_peak_bc_matrix.h5	03/13/2024 19:00:36	25742943	H5
File	GSM8228890_Chen_a_lobe_10x_Lobe_D28_13_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:55	46718597	H5
File	GSM8228891_Chen_a_lobe_10x3_Lobe_19_D019_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:07	66319715	H5
File	GSM8228892_Chen_rgc_mac_NeuN_10x3v31_19_D008_Mac_NeuN_T-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:44:50	146568805	H5
File	GSM8228893_cellranger_v2.1_atac_19_D010_macular_NeuN_3_filtered_peak_bc_matrix.h5	03/13/2024 19:00:55	27621847	H5
File	GSM8228894_cellranger_v2.1_atac_19_D010_macular_NeuN_2_filtered_peak_bc_matrix.h5	03/13/2024 19:00:50	26173591	H5
File	GSM8228895_Chen_a_lobe_10x3_Lobe_19_D008_Nu-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:42:50	43306485	H5
File	GSM8228896_Chen_a_lobe_10x3_Lobe_D005_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:09	295402360	H5
File	GSM8228897_Chen_a_lobe_10x_Lobe_D27_13_NeuN-v7_filtered_feature_bc_matrix.h5	03/13/2024 16:43:48	74060702	H5
