#Archive/File	Name	Time	Size	Type
Archive	GSE281526_RAW.tar	10/15/2025 00:32:25	64341258240	TAR
File	GSM8622752_Multi_22_0200_Fovea_2_atac_fragments.tsv.gz	11/06/2024 18:04:36	1622148071	TSV
File	GSM8622752_Multi_22_0200_Fovea_2_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	946734	TBI
File	GSM8622754_BCM_22_0200_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 12:59:37	34567983	H5
File	GSM8622755_BCM_22_0200_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 12:59:41	29602104	H5
File	GSM8622756_BCM_22_0200_RNA_macular_s1_1_filtered_feature_bc_matrix.h5	10/02/2024 12:59:46	37187168	H5
File	GSM8622757_BCM_22_0200_RNA_macular_s2_1_filtered_feature_bc_matrix.h5	10/02/2024 12:59:50	30492260	H5
File	GSM8622758_BCM_22_0200_RNA_macular_s3_filtered_feature_bc_matrix.h5	10/02/2024 12:59:55	36561068	H5
File	GSM8622759_BCM_22_0389_ATAC_fovea_filtered_peak_bc_matrix.h5	11/06/2024 23:08:43	48419388	H5
File	GSM8622759_BCM_22_0389_ATAC_fovea_fragments.tsv.gz	11/06/2024 18:04:50	1844479755	TSV
File	GSM8622759_BCM_22_0389_ATAC_fovea_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	1039894	TBI
File	GSM8622760_BCM_22_0389_ATAC_lobe_filtered_peak_bc_matrix.h5	11/06/2024 23:08:51	87491696	H5
File	GSM8622760_BCM_22_0389_ATAC_lobe_fragments.tsv.gz	11/06/2024 18:05:05	2143735526	TSV
File	GSM8622760_BCM_22_0389_ATAC_lobe_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	1071843	TBI
File	GSM8622761_BCM_22_0389_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:00:09	6330086	H5
File	GSM8622762_BCM_22_0389_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:00:14	48492568	H5
File	GSM8622763_BCM_22_0389_RNA_lobe_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:00:19	57699864	H5
File	GSM8622764_BCM_22_0395_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:00:24	42458335	H5
File	GSM8622765_BCM_22_0434_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:00:29	44609118	H5
File	GSM8622766_BCM_22_0434_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:00:33	37329496	H5
File	GSM8622767_BCM_22_0434_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:00:38	46317219	H5
File	GSM8622768_BCM_22_0434_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/02/2024 13:00:43	36029194	H5
File	GSM8622769_BCM_22_0434_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 13:00:48	41277401	H5
File	GSM8622770_Multi_22_0458_Fovea_1_atac_fragments.tsv.gz	11/06/2024 18:05:24	1481330073	TSV
File	GSM8622770_Multi_22_0458_Fovea_1_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	901435	TBI
File	GSM8622772_Multi_22_0458_Fovea_2_atac_fragments.tsv.gz	11/06/2024 18:05:37	1488658016	TSV
File	GSM8622772_Multi_22_0458_Fovea_2_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	903620	TBI
File	GSM8622774_Multi_22_0458_Fovea_1_Connect_atac_fragments.tsv.gz	11/06/2024 18:05:50	845886056	TSV
File	GSM8622774_Multi_22_0458_Fovea_1_Connect_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	719519	TBI
File	GSM8622776_BCM_22_0458_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:01:09	68977734	H5
File	GSM8622777_BCM_22_0458_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:01:14	7119067	H5
File	GSM8622778_BCM_22_0458_RNA_macular_1_filtered_feature_bc_matrix.h5	10/02/2024 13:01:19	41193428	H5
File	GSM8622779_BCM_22_0458_RNA_macular_2_filtered_feature_bc_matrix.h5	10/02/2024 13:01:24	35862847	H5
File	GSM8622780_BCM_22_0458_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/01/2024 18:57:50	38028998	H5
File	GSM8622781_BCM_22_0458_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 13:01:36	14574125	H5
File	GSM8622782_BCM_22_0500_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:01:41	41589943	H5
File	GSM8622783_BCM_22_0769_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:01:45	41984742	H5
File	GSM8622784_BCM_22_0769_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:01:50	28707138	H5
File	GSM8622785_BCM_22_0784_ATAC_fovea_filtered_peak_bc_matrix.h5	11/06/2024 23:08:37	32490341	H5
File	GSM8622785_BCM_22_0784_ATAC_fovea_fragments.tsv.gz	11/06/2024 18:06:00	1687991012	TSV
File	GSM8622785_BCM_22_0784_ATAC_fovea_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	1004180	TBI
File	GSM8622786_BCM_22_0784_ATAC_lobe_filtered_peak_bc_matrix.h5	11/06/2024 23:08:49	114445282	H5
File	GSM8622786_BCM_22_0784_ATAC_lobe_fragments.tsv.gz	11/06/2024 18:06:14	2346861053	TSV
File	GSM8622786_BCM_22_0784_ATAC_lobe_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	1132724	TBI
File	GSM8622787_BCM_22_0784_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:02:07	46587390	H5
File	GSM8622787_MMD_22_02443_ATAC_macular_s1_fragments.tsv.gz	11/06/2024 18:06:32	1636644566	TSV
File	GSM8622787_MMD_22_02443_ATAC_macular_s1_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	1042756	TBI
File	GSM8622788_BCM_22_0784_RNA_macular_1_filtered_feature_bc_matrix.h5	10/02/2024 13:02:14	28888710	H5
File	GSM8622789_BCM_22_0784_RNA_macular_2_filtered_feature_bc_matrix.h5	10/02/2024 13:02:19	25810636	H5
File	GSM8622790_BCM_22_0784_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/02/2024 13:02:24	32063727	H5
File	GSM8622791_BCM_22_0784_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 13:02:30	23263256	H5
File	GSM8622792_BCM_22_0849_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:02:35	57661692	H5
File	GSM8622793_BCM_22_0867_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:02:41	41056520	H5
File	GSM8622794_BCM_22_0890_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:02:47	68066484	H5
File	GSM8622795_BCM_22_0896_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:02:53	63718004	H5
File	GSM8622796_BCM_23_0131_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:02:59	52299150	H5
File	GSM8622797_BCM_23_0131_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:03:05	54158722	H5
File	GSM8622798_BCM_23_0231_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:03:11	66927253	H5
File	GSM8622799_BCM_23_0313_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:03:19	51067167	H5
File	GSM8622800_BCM_23_0334_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:03:24	54551092	H5
File	GSM8622801_BCM_23_0334_RNA_fovea_s2_filtered_feature_bc_matrix.h5	10/02/2024 13:03:29	51542264	H5
File	GSM8622802_BCM_23_0358_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:03:35	33923536	H5
File	GSM8622803_BCM_23_0574_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:03:40	49452218	H5
File	GSM8622804_BCM_23_0574_RNA_fovea_s2_filtered_feature_bc_matrix.h5	10/02/2024 13:03:44	22157364	H5
File	GSM8622805_BCM_23_0574_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:03:49	13123757	H5
File	GSM8622806_BCM_23_0578_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:03:53	40498753	H5
File	GSM8622807_BCM_23_0792_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:03:58	54108510	H5
File	GSM8622808_BCM_23_1340_RNA_fovea_1_filtered_feature_bc_matrix.h5	10/02/2024 13:04:03	60061329	H5
File	GSM8622809_BCM_23_1340_RNA_fovea_2_filtered_feature_bc_matrix.h5	10/02/2024 13:04:08	58985967	H5
File	GSM8622810_BCM_23_1401_RNA_fovea_1_filtered_feature_bc_matrix.h5	10/02/2024 13:04:13	53760500	H5
File	GSM8622811_BCM_23_1401_RNA_fovea_2_filtered_feature_bc_matrix.h5	10/02/2024 13:04:18	56153251	H5
File	GSM8622812_BCM_23_1448_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 13:04:24	50647592	H5
File	GSM8622813_BCM_23_1556_RNA_fovea_s1_filtered_feature_bc_matrix.h5	10/02/2024 13:04:29	57061231	H5
File	GSM8622814_BCM_23_1556_RNA_fovea_s2_filtered_feature_bc_matrix.h5	10/02/2024 13:04:35	21179440	H5
File	GSM8622815_BCM_24_0080_RNA_fovea_2_filtered_feature_bc_matrix.h5	10/08/2024 14:23:09	20859414	H5
File	GSM8622816_MMD_22_02443_ATAC_macular_s1_filtered_peak_bc_matrix.h5	11/06/2024 23:08:41	10740247	H5
File	GSM8622816_MMD_22_16477_ATAC_macular_s1_fragments.tsv.gz	11/06/2024 18:07:38	1768736563	TSV
File	GSM8622816_MMD_22_16477_ATAC_macular_s1_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	1057863	TBI
File	GSM8622817_MMD_22_02443_ATAC_macular_s2_filtered_peak_bc_matrix.h5	11/06/2024 23:08:54	16236008	H5
File	GSM8622817_MMD_22_02443_ATAC_macular_s2_fragments.tsv.gz	11/06/2024 18:06:46	1674516205	TSV
File	GSM8622817_MMD_22_02443_ATAC_macular_s2_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	1007216	TBI
File	GSM8622818_MMD_22_02443_ATAC_macular_s3_filtered_peak_bc_matrix.h5	11/06/2024 23:08:56	39754857	H5
File	GSM8622818_MMD_22_02443_ATAC_macular_s3_fragments.tsv.gz	11/06/2024 18:07:01	3469757931	TSV
File	GSM8622818_MMD_22_02443_ATAC_macular_s3_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:35	1354888	TBI
File	GSM8622819_Multi_MMD-22-02443_22_1375_mac_atac_fragments.tsv.gz	11/06/2024 18:07:27	1048210613	TSV
File	GSM8622819_Multi_MMD-22-02443_22_1375_mac_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:35	784506	TBI
File	GSM8622821_MMD_22_02443_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:05:03	51585289	H5
File	GSM8622822_MMD_22_02443_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:05:08	37436134	H5
File	GSM8622823_MMD_22_02443_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:05:13	49974595	H5
File	GSM8622824_MMD_22_13066_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:05:18	43522203	H5
File	GSM8622825_MMD_22_13066_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:05:23	33841307	H5
File	GSM8622826_MMD_22_13066_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:05:31	52854058	H5
File	GSM8622827_MMD_22_14307_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:05:36	47534103	H5
File	GSM8622828_MMD_22_14307_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:05:41	47946069	H5
File	GSM8622829_MMD_22_14307_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:05:48	32217383	H5
File	GSM8622830_MMD_22_16477_ATAC_macular_s1_filtered_peak_bc_matrix.h5	11/06/2024 23:08:28	25809015	H5
File	GSM8622831_MMD_22_16477_ATAC_macular_s2_filtered_peak_bc_matrix.h5	11/06/2024 23:08:25	20099253	H5
File	GSM8622831_MMD_22_16477_ATAC_macular_s2_fragments.tsv.gz	11/07/2024 19:59:33	34481160	TSV
File	GSM8622831_MMD_22_16477_ATAC_macular_s2_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:35	1006047	TBI
File	GSM8622832_Multi_MMD-22-16477_22_2815_Mac_atac_fragments.tsv.gz	11/08/2024 14:38:16	967967693	TSV
File	GSM8622832_Multi_MMD-22-16477_22_2815_Mac_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:35	754046	TBI
File	GSM8622834_MMD_22_16477_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:06:06	42350028	H5
File	GSM8622835_MMD_22_16477_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:06:11	53956554	H5
File	GSM8622836_MMD_22_16477_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:06:16	49375716	H5
File	GSM8622837_MMD_22_16608_ATAC_macular_s1_filtered_peak_bc_matrix.h5	11/06/2024 23:08:18	50603710	H5
File	GSM8622837_MMD_22_16608_ATAC_macular_s1_fragments.tsv.gz	11/08/2024 15:16:45	1535285940	TSV
File	GSM8622837_MMD_22_16608_ATAC_macular_s1_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:35	936550	TBI
File	GSM8622838_MMD_22_16608_ATAC_macular_s2_filtered_peak_bc_matrix.h5	11/06/2024 23:08:20	109363153	H5
File	GSM8622838_MMD_22_16608_ATAC_macular_s2_fragments.tsv.gz	11/08/2024 15:15:09	3368296288	TSV
File	GSM8622838_MMD_22_16608_ATAC_macular_s2_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:35	1383143	TBI
File	GSM8622839_MMD_22_16608_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:06:31	45236134	H5
File	GSM8622840_MMD_22_16608_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:06:36	35392048	H5
File	GSM8622841_MMD_22_16608_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:06:41	42950329	H5
File	GSM8622842_MMD_22_16860_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:06:45	34813557	H5
File	GSM8622843_MMD_22_16860_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:06:50	57465800	H5
File	GSM8622844_MMD_22_16860_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:06:55	52149072	H5
File	GSM8622845_MMD_22_17017_ATAC_macular_s1_filtered_peak_bc_matrix.h5	11/06/2024 23:08:39	49763437	H5
File	GSM8622845_MMD_22_17017_ATAC_macular_s1_fragments.tsv.gz	11/08/2024 14:59:46	2426675503	TSV
File	GSM8622845_MMD_22_17017_ATAC_macular_s1_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:35	1236621	TBI
File	GSM8622846_MMD_22_17017_ATAC_macular_s2_filtered_peak_bc_matrix.h5	11/06/2024 23:08:26	29437586	H5
File	GSM8622846_MMD_22_17017_ATAC_macular_s2_fragments.tsv.gz	11/06/2024 18:09:16	1666968659	TSV
File	GSM8622846_MMD_22_17017_ATAC_macular_s2_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:36	1046903	TBI
File	GSM8622847_MMD_22_17017_ATAC_macular_s3_filtered_peak_bc_matrix.h5	11/06/2024 23:08:46	56549156	H5
File	GSM8622847_MMD_22_17017_ATAC_macular_s3_fragments.tsv.gz	11/06/2024 18:09:29	3033423539	TSV
File	GSM8622847_MMD_22_17017_ATAC_macular_s3_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:36	1322738	TBI
File	GSM8622848_MMD_22_17017_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:07:15	55320719	H5
File	GSM8622849_MMD_22_17017_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:07:20	53274913	H5
File	GSM8622850_MMD_22_17017_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:07:25	39895070	H5
File	GSM8622851_MMD_22_17464_ATAC_macular_s1_filtered_peak_bc_matrix.h5	11/06/2024 23:08:58	25478041	H5
File	GSM8622851_MMD_22_17464_ATAC_macular_s1_fragments.tsv.gz	11/06/2024 18:09:51	1628855084	TSV
File	GSM8622851_MMD_22_17464_ATAC_macular_s1_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:36	982888	TBI
File	GSM8622852_MMD_22_17464_ATAC_macular_s2_filtered_peak_bc_matrix.h5	11/06/2024 23:08:32	55576711	H5
File	GSM8622852_MMD_22_17464_ATAC_macular_s2_fragments.tsv.gz	11/06/2024 18:10:04	3541352256	TSV
File	GSM8622852_MMD_22_17464_ATAC_macular_s2_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:36	1382251	TBI
File	GSM8622853_MMD_22_17464_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:07:38	49930130	H5
File	GSM8622854_MMD_22_17464_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:07:44	44368216	H5
File	GSM8622855_MMD_22_17464_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:07:49	77405035	H5
File	GSM8622856_MMD_22_17939_ATAC_macular_filtered_peak_bc_matrix.h5	11/06/2024 23:08:36	3224610	H5
File	GSM8622856_MMD_22_17939_ATAC_macular_fragments.tsv.gz	11/06/2024 18:10:30	1500212464	TSV
File	GSM8622856_MMD_22_17939_ATAC_macular_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:36	979647	TBI
File	GSM8622857_MMD_22_17939_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:07:59	34675222	H5
File	GSM8622858_MMD_22_17939_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:08:03	49898103	H5
File	GSM8622859_MMD_22_17939_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:08:09	45984036	H5
File	GSM8622860_MMD_22_18633_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:08:18	33991390	H5
File	GSM8622861_MMD_22_18633_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:08:23	19976878	H5
File	GSM8622862_MMD_22_18633_RNA_macular_NeuN_s1_filtered_feature_bc_matrix.h5	10/02/2024 13:08:27	27995830	H5
File	GSM8622863_MMD_22_20137_ATAC_macular_filtered_peak_bc_matrix.h5	11/06/2024 23:08:34	84821740	H5
File	GSM8622863_MMD_22_20137_ATAC_macular_fragments.tsv.gz	11/06/2024 18:10:43	3178109294	TSV
File	GSM8622863_MMD_22_20137_ATAC_macular_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:36	1356341	TBI
File	GSM8622864_MMD_22_20137_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:08:41	54221313	H5
File	GSM8622865_MMD_22_20137_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:08:46	30930052	H5
File	GSM8622866_MMD_22_20137_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/02/2024 13:08:50	50816852	H5
File	GSM8622867_MMD_22_20137_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 13:08:55	61083111	H5
File	GSM8622868_MMD_22_20357_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:08:59	39226560	H5
File	GSM8622869_MMD_22_20357_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:09:04	40560793	H5
File	GSM8622870_MMD-22-18633_22_3955_Mac_NeuN_T_1_filtered_feature_bc_matrix.h5	10/01/2024 19:37:06	52675644	H5
File	GSM8622871_MMD-22-18633_22_3955_Mac_NeuN_T_2_filtered_feature_bc_matrix.h5	10/01/2024 19:37:22	56380292	H5
File	GSM8622872_MMD-22-18633_22_3955_Mac_NeuN_T_3_filtered_feature_bc_matrix.h5	10/01/2024 19:37:34	53244057	H5
File	GSM8622873_MMD_22_20372_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:09:09	47288962	H5
File	GSM8622874_MMD_22_20372_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:09:15	50881716	H5
File	GSM8622875_MMD_22_20372_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/02/2024 13:09:19	61433427	H5
File	GSM8622876_MMD_22_20372_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 13:09:25	61969627	H5
File	GSM8622877_MMD_22_21878_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:09:30	43263790	H5
File	GSM8622878_MMD_22_21878_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:09:34	27125274	H5
File	GSM8622879_MMD_22_21878_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:09:39	55616613	H5
File	GSM8622880_MMD_22_25357_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:09:44	55899252	H5
File	GSM8622881_MMD_22_25357_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:09:49	16761858	H5
File	GSM8622882_MMD_22_25357_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:09:54	19194292	H5
File	GSM8622883_MMD_22_32888_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:09:58	51324006	H5
File	GSM8622884_MMD_22_32888_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:10:03	45069530	H5
File	GSM8622885_MMD_22_32888_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/02/2024 13:10:08	71106874	H5
File	GSM8622886_MMD_22_32888_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 13:10:15	66581107	H5
File	GSM8622887_MMD_22_33472_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:10:20	27958107	H5
File	GSM8622888_MMD_22_33472_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:10:25	42861072	H5
File	GSM8622889_MMD_22_33472_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/02/2024 13:10:30	70676363	H5
File	GSM8622890_MMD_22_33472_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 13:10:35	76993549	H5
File	GSM8622891_MMD_22_33472_RNA_macular_NeuN_3_filtered_feature_bc_matrix.h5	10/02/2024 13:10:41	67074442	H5
File	GSM8622892_MMD_22_34032_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:11:13	48493604	H5
File	GSM8622893_MMD_22_37089_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:11:18	30953614	H5
File	GSM8622894_MMD_22_37089_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:11:25	16389271	H5
File	GSM8622895_MMD_22_37089_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/02/2024 13:11:31	26643733	H5
File	GSM8622896_MMD_22_37089_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 13:11:35	25388288	H5
File	GSM8622897_MMD_22_37117_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:11:40	46654723	H5
File	GSM8622898_MMD_22_37117_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 13:11:50	66788298	H5
File	GSM8622899_MMD_22_37117_RNA_macular_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 13:11:57	79909760	H5
File	GSM8622900_MMD_22_38029_RNA_lobe_filtered_feature_bc_matrix.h5	10/02/2024 13:12:02	26542118	H5
