#Archive/File	Name	Time	Size	Type
Archive	GSE281526_RAW.tar	10/15/2025 00:32:25	64341258240	TAR
File	GSM8622729_A23_5566_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 12:57:50	40533319	H5
File	GSM8622730_Multi_22_0047_Fov_atac_fragments.tsv.gz	11/06/2024 18:03:03	1644759104	TSV
File	GSM8622730_Multi_22_0047_Fov_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:33	1029535	TBI
File	GSM8622732_Multi_22_0047_Mac_atac_fragments.tsv.gz	11/06/2024 18:03:16	1437897885	TSV
File	GSM8622732_Multi_22_0047_Mac_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:33	892817	TBI
File	GSM8622734_Multi_22_0047_Mac_Connect_atac_fragments.tsv.gz	11/06/2024 18:03:29	934378289	TSV
File	GSM8622734_Multi_22_0047_Mac_Connect_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:33	747841	TBI
File	GSM8622736_BCM_22_0047_RNA_macular_filtered_feature_bc_matrix.h5	10/02/2024 12:58:13	38289151	H5
File	GSM8622737_BCM_22_0183_ATAC_fovea_filtered_peak_bc_matrix.h5	11/06/2024 23:08:45	39172294	H5
File	GSM8622737_BCM_22_0183_ATAC_fovea_fragments.tsv.gz	11/06/2024 18:03:38	1879435835	TSV
File	GSM8622737_BCM_22_0183_ATAC_fovea_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:33	1064630	TBI
File	GSM8622738_BCM_22_0183_ATAC_lobe_s1_filtered_peak_bc_matrix.h5	11/06/2024 23:08:30	79645624	H5
File	GSM8622738_BCM_22_0183_ATAC_lobe_s1_fragments.tsv.gz	11/06/2024 18:03:53	2042285831	TSV
File	GSM8622738_BCM_22_0183_ATAC_lobe_s1_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	1048695	TBI
File	GSM8622739_BCM_22_0183_ATAC_lobe_s2_filtered_peak_bc_matrix.h5	11/06/2024 23:08:22	96515897	H5
File	GSM8622739_BCM_22_0183_ATAC_lobe_s2_fragments.tsv.gz	11/06/2024 18:04:09	1835983612	TSV
File	GSM8622739_BCM_22_0183_ATAC_lobe_s2_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	988226	TBI
File	GSM8622740_BCM_22_0183_RNA_fovea_s2_filtered_feature_bc_matrix.h5	10/02/2024 12:58:36	16423746	H5
File	GSM8622741_BCM_22_0183_RNA_lobe_NeuN_filtered_feature_bc_matrix.h5	10/02/2024 12:58:40	45790752	H5
File	GSM8622742_BCM_22_0183_RNA_lobe_s1_filtered_feature_bc_matrix.h5	10/02/2024 12:58:45	19537755	H5
File	GSM8622743_BCM_22_0183_RNA_lobe_s2_filtered_feature_bc_matrix.h5	10/02/2024 12:58:50	37884680	H5
File	GSM8622744_BCM_22_0183_RNA_lobe_s3_filtered_feature_bc_matrix.h5	10/02/2024 12:58:56	40343077	H5
File	GSM8622745_BCM_22_0183_RNA_macular_1_filtered_feature_bc_matrix.h5	10/02/2024 12:59:01	31051876	H5
File	GSM8622746_BCM_22_0183_RNA_macular_2_filtered_feature_bc_matrix.h5	10/02/2024 12:59:06	27574134	H5
File	GSM8622747_BCM_22_0183_RNA_macular_NeuN_1_filtered_feature_bc_matrix.h5	10/02/2024 12:59:10	37284904	H5
File	GSM8622748_BCM_22_0183_RNA_macular_NeuN_2_filtered_feature_bc_matrix.h5	10/02/2024 12:59:15	30317404	H5
File	GSM8622749_BCM_22_0200_BCM_23_0491_RNA_fovea_filtered_feature_bc_matrix.h5	10/02/2024 12:59:20	26795094	H5
File	GSM8622750_Multi_22_0200_Fovea_1_atac_fragments.tsv.gz	11/06/2024 18:04:24	1353948345	TSV
File	GSM8622750_Multi_22_0200_Fovea_1_atac_fragments.tsv.gz.tbi.gz	11/10/2024 11:45:34	867193	TBI
